samples_per_row=16777216
q,s,B,tests,non_units,epsilon,minus_log2_epsilon,heuristic_log2,avg_sampler_attempts,equal_resamples,seconds
127,3,2.9,16777216,62049,3.698408603668e-3,8.078880,-7.977,5.042236,23,2.506
383,4,3.4,16777216,7200,4.291534423828e-4,11.186219,-11.162,9.858889,0,5.449
1151,4,3.7,16777216,828,4.935264587402e-5,14.306513,-14.337,2.917900,0,2.455
1279,4,3.7,16777216,607,3.618001937866e-5,14.754447,-14.642,2.918023,1,2.384
1663,4,3.8,16777216,408,2.431869506836e-5,15.327575,-15.399,1.711257,0,1.862
2687,5,4.0,16777216,156,9.298324584961e-6,16.714598,-16.784,8.345231,0,6.088
5119,5,4.0,16777216,39,2.324581146240e-6,18.714598,-18.643,8.348242,0,6.231
6143,5,4.1,16777216,20,1.192092895508e-6,19.678072,-19.169,5.606954,0,4.711
